year,month,day,dow,births
1994,7,5,Tuesday,11609
1994,7,6,Wednesday,13086
1994,7,7,Thursday,13049
1994,7,8,Friday,12623
1994,7,9,Saturday,9325
1994,7,10,Sunday,8684
1994,7,11,Monday,11567
1994,7,12,Tuesday,12507
1994,7,13,Wednesday,12134
1994,7,14,Thursday,12485
1994,7,15,Friday,12691
1994,7,16,Saturday,9547
1994,7,17,Sunday,8848
1994,7,18,Monday,11561
1994,7,19,Tuesday,12583
1994,7,20,Wednesday,12378
1994,7,21,Thursday,12447
1994,7,22,Friday,12486
1994,7,23,Saturday,9463
1994,7,24,Sunday,8734
1994,7,25,Monday,11757
1994,7,26,Tuesday,12591
1994,7,27,Wednesday,12423
1994,7,28,Thursday,12539
1994,7,29,Friday,12231
1994,7,30,Saturday,9340
1994,7,31,Sunday,8590
1994,8,1,Monday,11428
1994,8,2,Tuesday,12622
1994,8,3,Wednesday,12147
1994,8,4,Thursday,12601
1994,8,5,Friday,12251
1994,8,6,Saturday,9336
1994,8,7,Sunday,8517
1994,8,8,Monday,11528
1994,8,9,Tuesday,12643
1994,8,10,Wednesday,12525
1994,8,11,Thursday,12147
1994,8,12,Friday,12479
1994,8,13,Saturday,9474
1994,8,14,Sunday,8926
1994,8,15,Monday,11391
1994,8,16,Tuesday,12605
1994,8,17,Wednesday,12344
1994,8,18,Thursday,12313
1994,8,19,Friday,12227
1994,8,20,Saturday,9646
1994,8,21,Sunday,8663
1994,8,22,Monday,11489
1994,8,23,Tuesday,12284
1994,8,24,Wednesday,12176
1994,8,25,Thursday,12076
1994,8,26,Friday,12122
1994,8,27,Saturday,9171
1994,8,28,Sunday,8779
1994,8,29,Monday,11560
1994,8,30,Tuesday,12431
1994,8,31,Wednesday,12272
1994,9,1,Thursday,12183
1994,9,2,Friday,12099
1994,9,3,Saturday,9042
1994,9,4,Sunday,8420
1994,9,5,Monday,8378
1994,9,6,Tuesday,11448
1994,9,7,Wednesday,12660
1994,9,8,Thursday,12693
1994,9,9,Friday,12811
1994,9,10,Saturday,9424
1994,9,11,Sunday,8373
1994,9,12,Monday,11500
1994,9,13,Tuesday,12560
1994,9,14,Wednesday,12566
1994,9,15,Thursday,12655
1994,9,16,Friday,12884
1994,9,17,Saturday,9779
1994,9,18,Sunday,8603
1994,9,19,Monday,11659
1994,9,20,Tuesday,12584
1994,9,21,Wednesday,12468
1994,9,22,Thursday,12590
1994,9,23,Friday,12522
1994,9,24,Saturday,9597
1994,9,25,Sunday,8754
1994,9,26,Monday,11597
1994,9,27,Tuesday,12591
1994,9,28,Wednesday,12405
1994,9,29,Thursday,12288
1994,9,30,Friday,12090
1994,10,1,Saturday,9351
1994,10,2,Sunday,8477
1994,10,3,Monday,11437
1994,10,4,Tuesday,12378
1994,10,5,Wednesday,12061
1994,10,6,Thursday,12017
1994,10,7,Friday,12050
1994,10,8,Saturday,8981
1994,10,9,Sunday,8038
1994,10,10,Monday,11110
1994,10,11,Tuesday,12236
1994,10,12,Wednesday,11846
1994,10,13,Thursday,11398
1994,10,14,Friday,11959
1994,10,15,Saturday,9077
1994,10,16,Sunday,8022
1994,10,17,Monday,11127
1994,10,18,Tuesday,11888
1994,10,19,Wednesday,11533
1994,10,20,Thursday,11876
1994,10,21,Friday,11562
1994,10,22,Saturday,9086
1994,10,23,Sunday,7914
1994,10,24,Monday,11068
1994,10,25,Tuesday,12019
1994,10,26,Wednesday,11683
1994,10,27,Thursday,11420
1994,10,28,Friday,11608
1994,10,29,Saturday,8855
1994,10,30,Sunday,8262
1994,10,31,Monday,9833
1994,11,1,Tuesday,12316
1994,11,2,Wednesday,11736
1994,11,3,Thursday,11703
1994,11,4,Friday,11956
1994,11,5,Saturday,8826
1994,11,6,Sunday,8100
1994,11,7,Monday,11283
1994,11,8,Tuesday,11999
1994,11,9,Wednesday,11811
1994,11,10,Thursday,11728
1994,11,11,Friday,11533
1994,11,12,Saturday,8672
1994,11,13,Sunday,8093
1994,11,14,Monday,11044
1994,11,15,Tuesday,11985
1994,11,16,Wednesday,11634
1994,11,17,Thursday,11703
1994,11,18,Friday,11826
1994,11,19,Saturday,8771
1994,11,20,Sunday,8133
1994,11,21,Monday,11807
1994,11,22,Tuesday,12764
1994,11,23,Wednesday,11332
1994,11,24,Thursday,8036
1994,11,25,Friday,9419
1994,11,26,Saturday,8427
1994,11,27,Sunday,7937
1994,11,28,Monday,11003
1994,11,29,Tuesday,12177
1994,11,30,Wednesday,11643
1994,12,1,Thursday,11681
1994,12,2,Friday,11379
1994,12,3,Saturday,8585
1994,12,4,Sunday,7980
1994,12,5,Monday,10772
1994,12,6,Tuesday,11923
1994,12,7,Wednesday,11335
1994,12,8,Thursday,11337
1994,12,9,Friday,11205
1994,12,10,Saturday,8461
1994,12,11,Sunday,7936
1994,12,12,Monday,11106
1994,12,13,Tuesday,11884
1994,12,14,Wednesday,11716
1994,12,15,Thursday,11962
1994,12,16,Friday,12144
1994,12,17,Saturday,8726
1994,12,18,Sunday,8130
1994,12,19,Monday,11502
1994,12,20,Tuesday,12880
1994,12,21,Wednesday,12391
1994,12,22,Thursday,11504
1994,12,23,Friday,10087
1994,12,24,Saturday,7898
1994,12,25,Sunday,7192
1994,12,26,Monday,8454
1994,12,27,Tuesday,11131
1994,12,28,Wednesday,12398
1994,12,29,Thursday,12189
1994,12,30,Friday,12051
1994,12,31,Saturday,8809
1995,1,1,Sunday,7828
1995,1,2,Monday,7883
1995,1,3,Tuesday,9999
1995,1,4,Wednesday,11315
1995,1,5,Thursday,11243
1995,1,6,Friday,11506
1995,1,7,Saturday,8681
1995,1,8,Sunday,7821
1995,1,9,Monday,10434
1995,1,10,Tuesday,11665
1995,1,11,Wednesday,11279
1995,1,12,Thursday,11416
1995,1,13,Friday,11071
1995,1,14,Saturday,8887
1995,1,15,Sunday,7988
1995,1,16,Monday,10417
1995,1,17,Tuesday,11345
1995,1,18,Wednesday,11252
1995,1,19,Thursday,11331
1995,1,20,Friday,11481
1995,1,21,Saturday,8746
1995,1,22,Sunday,7956
1995,1,23,Monday,10640
1995,1,24,Tuesday,11344
1995,1,25,Wednesday,11096
1995,1,26,Thursday,11380
1995,1,27,Friday,11340
1995,1,28,Saturday,8781
